ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,index,portfolio,y,total_labor_hours,wo#
2011-07-01,-30673.586257205017,-125360.11635214907,15797.426330977923,-30673.586257205017,-30673.586257205017,-22315.842717313593,-22315.842717313593,-22315.842717313593,-22315.842717313593,-22315.842717313593,-22315.842717313593,0.0,0.0,0.0,0.0,32.0,Giant Martins,0.0,1131.1299999999997,112.0
2011-08-01,-19366.662060451043,-117835.02732884519,25927.1876229092,-19366.662060451043,-19366.662060451043,-25944.15124258165,-25944.15124258165,-25944.15124258165,-25944.15124258165,-25944.15124258165,-25944.15124258165,0.0,0.0,0.0,0.0,37.0,Giant Martins,0.0,174.92999999999998,38.0
2011-09-01,-8059.73786369707,-89015.41769301482,54808.15799851126,-8059.73786369707,-8059.73786369707,-7335.381903686842,-7335.381903686842,-7335.381903686842,-7335.381903686842,-7335.381903686842,-7335.381903686842,0.0,0.0,0.0,0.0,42.0,Giant Martins,0.0,196.74000000000004,46.0
2011-10-01,2882.4468349452723,-63174.01122470219,79147.97640778929,2882.4468349452723,2882.4468349452723,5964.632579961575,5964.632579961575,5964.632579961575,5964.632579961575,5964.632579961575,5964.632579961575,0.0,0.0,0.0,8847.079414906848,47.0,Giant Martins,0.0,405.53,42.0
2011-11-01,14189.3710285365,-51936.25472040863,83905.1619587701,14189.3710285365,14189.3710285365,3962.1292953603247,3962.1292953603247,3962.1292953603247,3962.1292953603247,3962.1292953603247,3962.1292953603247,0.0,0.0,0.0,18151.500323896824,52.0,Giant Martins,0.0,377.04,40.0
2011-12-01,25131.55584854299,-106.0272127997293,136214.80086311602,25131.55584854299,25131.55584854299,43282.01463624965,43282.01463624965,43282.01463624965,43282.01463624965,43282.01463624965,43282.01463624965,0.0,0.0,0.0,68413.57048479264,57.0,Giant Martins,0.0,215.4,25.0
2012-01-01,36438.4801834791,-16087.056315788046,130116.42046124874,36438.4801834791,36438.4801834791,22796.347926248458,22796.347926248458,22796.347926248458,22796.347926248458,22796.347926248458,22796.347926248458,0.0,0.0,0.0,59234.82810972756,62.0,Giant Martins,0.0,480.1899999999998,36.0
2012-02-01,47745.404525874736,-1442.4916754668336,136318.57131951328,47745.404525874736,47745.404525874736,21398.258711422208,21398.258711422208,21398.258711422208,21398.258711422208,21398.258711422208,21398.258711422208,0.0,0.0,0.0,69143.66323729695,67.0,Giant Martins,0.0,673.4500000000002,46.0
2012-03-01,58322.850214231614,-8550.284410254872,131957.46549417416,58322.850214231614,58322.850214231614,4622.405313492754,4622.405313492754,4622.405313492754,4622.405313492754,4622.405313492754,4622.405313492754,0.0,0.0,0.0,62945.25552772437,72.0,Giant Martins,0.0,488.21,51.0
2012-04-01,69629.78162761408,5660.525599496301,151624.40122106642,69629.78162761408,69629.78162761408,5825.810051395555,5825.810051395555,5825.810051395555,5825.810051395555,5825.810051395555,5825.810051395555,0.0,0.0,0.0,75455.59167900964,77.0,Giant Martins,0.0,236.00999999999996,36.0
