ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,portfolio,y,total_labor_hours
2011-09-01,25465.467945649358,-22011.391161714855,147039.68529739222,25465.467945649358,25465.467945649358,34977.24739144118,34977.24739144118,34977.24739144118,34977.24739144118,34977.24739144118,34977.24739144118,0.0,0.0,0.0,60442.71533709054,North,39700.610000000015,1884.2299999999996
2011-10-01,34277.3593488448,-39197.96559259878,125071.67031853051,34277.3593488448,34277.3593488448,8301.22940249683,8301.22940249683,8301.22940249683,8301.22940249683,8301.22940249683,8301.22940249683,0.0,0.0,0.0,42578.58875134163,North,32458.070000000007,2098.8532999999998
2011-11-01,43382.98046381565,-30911.96219395282,133340.3881192124,43382.98046381565,43382.98046381565,9523.960606591878,9523.960606591878,9523.960606591878,9523.960606591878,9523.960606591878,9523.960606591878,0.0,0.0,0.0,52906.94107040753,North,26086.649999999998,2314.5967000000005
2011-12-01,52194.87186001414,70279.3597874674,223850.85891643135,52194.87186001414,52194.87186001414,94695.19823565701,94695.19823565701,94695.19823565701,94695.19823565701,94695.19823565701,94695.19823565701,0.0,0.0,0.0,146890.07009567114,North,24576.73999999999,2051.8500000000004
2012-01-01,61300.49297200144,23753.335324503685,191369.84059743647,61300.49297200144,61300.49297200144,47303.0125006326,47303.0125006326,47303.0125006326,47303.0125006326,47303.0125006326,47303.0125006326,0.0,0.0,0.0,108603.50547263405,North,47355.85,2480.45
2012-02-01,70406.11410586193,-6798.948651504904,162428.43672759106,70406.11410586193,70406.11410586193,6117.049680991991,6117.049680991991,6117.049680991991,6117.049680991991,6117.049680991991,6117.049680991991,0.0,0.0,0.0,76523.16378685391,North,31880.560000000005,2187.25
2012-03-01,78924.27583144317,-46406.61546119539,119619.70762460447,78924.27583144317,78924.27583144317,-40866.22756778894,-40866.22756778894,-40866.22756778894,-40866.22756778894,-40866.22756778894,-40866.22756778894,0.0,0.0,0.0,38058.04826365423,North,51638.800000000025,2538.8732999999997
2012-04-01,88030.03961514884,-19034.917365171746,142632.15929366247,88030.03961514884,88030.03961514884,-21392.906682857774,-21392.906682857774,-21392.906682857774,-21392.906682857774,-21392.906682857774,-21392.906682857774,0.0,0.0,0.0,66637.13293229106,North,42693.39,2136.5399999999995
2012-05-01,96844.08207793608,22658.40018462482,186398.6909224784,96844.08207793608,96844.08207793608,4248.342198579313,4248.342198579313,4248.342198579313,4248.342198579313,4248.342198579313,4248.342198579313,0.0,0.0,0.0,101092.42427651539,North,37893.689999999995,2052.129999999999
2012-06-01,105955.53866638515,-3812.5913698969043,162037.49876850596,105955.53866638515,105955.53866638515,-25644.908651981776,-25644.908651981776,-25644.908651981776,-25644.908651981776,-25644.908651981776,-25644.908651981776,0.0,0.0,0.0,80310.63001440337,North,34975.110000000015,1985.7299999999998
